pid,hid,syear_x,similar_problems,take_revenge,insult_back,syear_y,recog_sup,felt_recog_sup,recog_effort,felt_recog_effort,recog_personal,felt_recog_personal,recog_pay,felt_recog_pay,syear_x,year_birth,gender,overtime,wage_lastmonth,commute_distance,new_job,reason_new_job,work_satisfaction,turnover_intention,syear_y,working_hours,firmsize,school_degree,tenure,years_educ,avg_rec,age,potential_experience,age_squared,mincer_residuals
201,27,2005,3.0,6.0,4.0,2006,,,,,,,,,2006,1926,0,,,,,,,1,2006,,,[1] Hauptschulabschluss,,10.0,4.333333333333333,81,3969,65.61,
203,60313,2005,4.0,7.0,5.0,2006,1.0,,1.0,,0.0,2.0,0.0,2.0,2006,1960,1,,2300.0,,0.0,,1.0,1,2006,,1.0,[4] Abitur,1.0,18.0,5.333333333333333,47,841,22.09,-395.67399774493424
602,60,2005,5.0,5.0,5.0,2006,0.0,2.0,1.0,,1.0,,1.0,,2006,1958,0,,200.0,1.0,0.0,,,1,2006,,3.0,[4] Abitur,1.0,18.0,5.0,49,961,24.01,-1671.544494671589
901,94,2005,4.0,6.0,5.0,2006,0.0,2.0,1.0,,1.0,,0.0,2.0,2006,1951,0,6.0,1252.0,10.0,0.0,,2.0,1,2006,42.0,6.0,[1] Hauptschulabschluss,5.0,10.0,5.0,56,1444,31.36,508.3603376040079
1202,124,2005,7.0,7.0,5.0,2006,,,,,,,,,2006,1913,0,,,,,,,1,2006,,,[1] Hauptschulabschluss,,10.0,6.333333333333333,94,5776,88.36,
1501,159,2005,6.0,7.0,6.0,2006,,,,,,,1.0,,2006,1958,1,,2000.0,,0.0,,1.0,1,2006,,1.0,[4] Abitur,16.0,18.0,6.333333333333333,49,961,24.01,-1066.341068777499
1601,167,2005,7.0,7.0,7.0,2006,,,,,,,,,2006,1940,1,,,,,,,1,2006,,,[1] Hauptschulabschluss,,10.0,7.0,67,2401,44.89,
1602,167,2005,7.0,7.0,7.0,2006,0.0,3.0,1.0,,1.0,,0.0,3.0,2006,1961,0,,260.0,5.0,0.0,,2.0,1,2006,,7.0,,1.0,,7.0,46,784,21.16,
1701,175,2005,5.0,6.0,7.0,2006,1.0,,1.0,,1.0,,0.0,3.0,2006,1948,1,15.0,2051.0,3.0,0.0,,1.0,1,2006,40.0,6.0,[4] Abitur,17.0,15.0,6.0,59,1681,34.81,-752.2490650949917
1704,175,2005,4.0,7.0,6.0,2006,1.0,,1.0,,1.0,,1.0,,2006,1956,0,7.0,2368.0,10.0,0.0,,1.0,1,2006,41.0,10.0,[2] Realschulabschluss,16.0,12.0,5.666666666666667,51,1089,26.01,872.3218314108424
1705,175,2005,6.0,6.0,6.0,2006,,,,,,,,,2006,1985,0,,,,,,,1,2006,,,[3] Fachhochschulreife,,12.0,6.0,22,16,4.84,
2301,230,2005,6.0,7.0,6.0,2006,1.0,,0.0,2.0,1.0,,1.0,,2006,1946,1,30.0,3600.0,12.0,0.0,,1.0,1,2006,42.0,7.0,[4] Abitur,27.0,18.0,6.333333333333333,61,1849,37.21,13.04575772581211
2302,65889,2005,6.0,6.0,6.0,2006,0.0,3.0,0.0,2.0,0.0,2.0,1.0,,2006,1946,0,,3000.0,2.0,0.0,,2.0,1,2006,,6.0,[4] Abitur,29.0,18.0,6.0,61,1849,37.21,329.62475090883845
