pid,hid,avg_rec
18702,1872,1.3333333333333333
18703,1872,1.0
18801,1880,4.333333333333333
18802,1880,4.111111111111111
18804,97055,4.333333333333333
18805,113840,1.6666666666666667
19001,1902,3.6666666666666665
19002,1902,1.4444444444444444
19201,1929,2.4444444444444446
19203,1929,4.555555555555555
19601,120650,3.5555555555555554
19802,1988,3.6666666666666665
19803,79065,3.2222222222222223
19901,1996,2.3333333333333335
20002,2003,1.0
20003,2003,3.6666666666666665
20101,2011,1.4444444444444444
20104,2011,1.6666666666666667
20105,2011,1.0
20201,75205,1.6666666666666667
20202,92002,3.111111111111111
20203,66176,2.2222222222222223
20204,2020,4.333333333333333
20205,92002,2.3333333333333335
20206,100129,4.111111111111111
20207,2020,4.0
20401,2046,1.0
20403,2046,2.0
20501,2054,1.0
20502,2054,1.0
20503,2054,3.3333333333333335
20504,2054,2.6666666666666665
20505,2054,4.0
20803,2089,2.0
21202,2127,1.3333333333333333
21401,2143,1.0
21402,2143,1.5555555555555556
22301,91910,6.777777777777778
22302,2232,1.1111111111111112
22303,114502,4.555555555555555
22304,2232,3.0
22305,2232,1.0
22306,2232,3.6666666666666665
22503,85960,3.2222222222222223
22601,2267,3.0
22602,2267,2.888888888888889
22603,2267,2.6666666666666665
22604,2267,3.6666666666666665
23201,2321,3.5555555555555554
23202,2321,4.0
23501,2356,5.111111111111111
23502,2356,3.0
23504,126063,3.0
23505,2356,4.0
23702,89524,2.3333333333333335
23801,2380,3.6666666666666665
23905,2399,3.4444444444444446
23906,2399,4.666666666666667
24201,2429,1.6666666666666667
24202,2429,2.0
24204,88315,2.5555555555555554
24302,2437,1.0
24303,82228,2.6666666666666665
24402,2445,1.0
24801,2488,1.6666666666666667
26202,66184,4.222222222222222
26701,2674,3.0
27401,2747,5.0
27402,2747,6.111111111111111
27403,70149,2.111111111111111
27404,88072,5.333333333333333
27405,110116,5.777777777777778
27502,2755,2.0
27701,2771,6.111111111111111
27702,2771,3.5555555555555554
27703,70130,1.6666666666666667
27801,2780,2.3333333333333335
27802,2780,2.111111111111111
27803,2780,2.6666666666666665
27804,2780,1.0
28701,2879,3.5555555555555554
28702,2879,3.2222222222222223
28801,2887,3.5555555555555554
28802,2887,4.444444444444445
28803,101451,1.6666666666666667
28901,2895,1.4444444444444444
29301,2933,3.0
29302,2933,4.222222222222222
29305,89508,3.4444444444444446
29401,2941,2.6666666666666665
29402,2941,2.2222222222222223
29701,2976,5.0
29702,119644,2.0
29703,119644,7.0
29901,2992,2.6666666666666665
29902,2992,2.6666666666666665
30102,3018,5.333333333333333
30103,3018,
30302,80551,2.0
30303,80551,4.333333333333333
31101,3115,4.0
31102,3115,3.3333333333333335
31103,83003,4.0
